Date,Open,High,Low,Close,Volume
2014-12-12,30251,30450,29693,30051,249865
2014-12-15,29772,30689,29733,30689,255677
2014-12-16,30649,31964,30370,31685,562865
2014-12-17,31685,32004,30848,30848,253158
2014-12-18,30848,31167,30012,30370,360243
2014-12-19,30490,31247,30370,30729,319580
2014-12-22,30769,31725,30769,31606,334522
2014-12-23,31805,32323,31167,31486,307466
2014-12-24,31805,32004,31446,31646,229183
2014-12-26,31885,32243,31446,31446,493921
2014-12-29,32283,32617,31948,32408,268701
2014-12-30,32408,32492,32032,32492,133720
2015-01-02,32659,33035,32492,32743,209680
2015-01-05,32617,32784,32324,32575,168975
2015-01-06,32199,32366,31697,31990,271199
2015-01-07,31864,32073,31697,31697,169967
2015-01-08,31906,32450,31697,31864,225169
2015-01-09,32324,32533,31864,32115,270553
2015-01-12,32241,32533,32115,32199,219070
2015-01-13,32366,34248,32199,33203,1225518
2015-01-14,33621,34122,33412,33663,564228
2015-01-15,33997,34541,33788,34415,578489
2015-01-16,34666,34792,33788,33830,355641
2015-01-19,34624,35001,34039,34039,414952
2015-01-20,34039,34290,33370,33830,341989
2015-01-21,33955,34164,33161,33412,350746
2015-01-22,33244,33537,32743,32826,290932
2015-01-23,33203,33788,33035,33788,366340
2015-01-26,33830,34248,33328,33453,305561
2015-01-27,33537,33746,32784,33035,331935
2015-01-28,32784,33161,32701,33119,224071
2015-01-29,33077,33913,33035,33537,336457
2015-01-30,34081,35335,33495,34039,1228557
2015-02-02,34206,34750,33746,34708,396675
2015-02-03,34750,35962,34415,35879,1028397
2015-02-04,35879,36381,35419,35461,642246
2015-02-05,35753,35837,35126,35461,391517
2015-02-06,40144,40395,37970,39391,4867669
2015-02-09,39350,42904,38973,41231,4058760
2015-02-10,41817,43239,39684,40813,2788615
2015-02-11,41608,42319,41231,41482,1671265
2015-02-12,41775,42486,40186,42235,1772525
2015-02-13,42653,48508,42653,48508,6289955
2015-02-16,50515,55784,49595,55784,6840229
2015-02-17,58126,59715,53024,54195,9534166
2015-02-23,56286,62224,55282,61555,7696640
2015-02-24,60969,63311,58962,60217,5704104
2015-02-25,61220,61471,55951,56704,5177103
2015-02-26,55617,57038,53526,55868,6690995
2015-02-27,56286,57791,54780,54780,3363450
2015-03-02,53944,55282,52020,52104,2808599
2015-03-03,53609,56369,53024,54028,4200821
2015-03-04,53944,57875,53526,55031,4287443
2015-03-05,55617,56286,53191,53860,2443446
2015-03-06,54362,58126,53526,58126,4157210
2015-03-09,59380,60133,56035,56537,3242703
2015-03-10,56202,56871,54195,54529,2068230
2015-03-11,55366,56620,54195,54278,1844737
2015-03-12,54278,55449,52522,55031,2055098
2015-03-13,55868,57206,55115,55784,1867711
2015-03-16,56788,57708,55868,57038,1770756
2015-03-17,58042,58209,56453,56704,1458790
2015-03-18,56788,58042,53526,54195,2453085
2015-03-19,54697,56871,52940,56871,2019727
2015-03-20,56620,58377,54864,56035,2225580
2015-03-23,56369,57038,55198,55533,933401
2015-03-24,55617,56537,54948,55366,756752
2015-03-25,56035,63646,55700,63646,5853071
2015-03-26,62726,63896,57875,58711,6543618
2015-03-27,58377,60300,57708,58711,2592620
2015-03-30,59631,59798,57289,57289,1502840
2015-03-31,57791,60217,57206,58460,2202008
2015-04-01,58042,58962,57289,58042,1090848
2015-04-02,58460,61137,57791,59380,2467565
2015-04-03,58795,60049,58293,60049,1123103
2015-04-06,59882,60969,59129,60049,1118575
2015-04-07,61471,66406,61304,63144,5224732
2015-04-08,61889,63562,60300,62475,2490782
2015-04-09,62642,63144,61471,61471,1163262
2015-04-10,66406,67660,63144,63227,3169118
2015-04-13,65235,72678,64482,72678,7602050
2015-04-14,73598,81460,71758,76776,9957287
2015-04-15,76776,78700,75020,77194,3140697
2015-04-16,77194,78198,72344,73096,4039251
2015-04-17,75522,76525,69918,73180,6148215
2015-04-20,72678,73765,70838,71005,2431903
